;B11;B8;W11;W8
ASV1;551;0;25437;65563
ASV2;38512;5034;1411;20292
ASV3;11052;1519;15589;24754
ASV4;7153;1390;30219;12772
ASV5;31418;3443;964;12371
ASV6;25864;11449;521;2701
ASV7;34542;2434;0;758
ASV8;0;0;35447;0
ASV9;0;87;26686;2231
ASV10;19763;1657;1039;2180
ASV11;0;0;194;23509
ASV12;4829;394;6733;7194
ASV13;447;16;569;14687
ASV14;0;0;0;12602
ASV15;377;0;11654;0
ASV16;0;34;9100;0
ASV17;0;25;341;8460
ASV18;143;0;215;8121
ASV19;2790;356;4815;510
ASV20;0;0;8004;0
ASV21;5160;2049;432;0
ASV22;0;0;0;7248
ASV23;0;0;7229;0
ASV24;0;0;7207;0
ASV25;656;179;336;5804
ASV26;505;78;0;4918
ASV27;344;0;4570;0
ASV28;0;0;4531;0
ASV29;4397;0;0;0
ASV30;1428;93;374;2267
ASV31;151;0;3971;0
ASV32;0;0;0;4021
ASV33;538;0;2918;0
ASV34;1303;157;390;1576
ASV35;2743;491;0;0
ASV36;0;0;0;3063
ASV37;0;0;2883;0
ASV38;0;0;0;2796
ASV39;0;0;2757;0
ASV40;0;0;2636;0
ASV41;211;0;0;2420
ASV42;0;0;2499;0
ASV43;0;0;0;2486
ASV44;0;0;2251;0
ASV45;0;0;0;2225
ASV46;0;0;2118;0
ASV47;0;0;2069;0
ASV48;0;0;0;1986
ASV49;0;0;1966;0
ASV50;0;0;0;1963
ASV51;1882;0;0;0
ASV52;1629;0;0;0
ASV53;369;24;0;1137
ASV54;0;0;0;1441
ASV55;0;63;0;1323
ASV56;0;581;781;0
ASV57;0;0;1358;0
ASV58;0;0;0;1317
ASV59;0;0;1295;0
ASV60;921;0;317;0
ASV61;0;0;1237;0
ASV62;1206;0;0;0
ASV63;0;0;0;1203
ASV64;0;0;0;1116
ASV65;0;0;0;1100
ASV66;0;0;0;1084
ASV67;0;0;0;1082
ASV68;368;37;668;0
ASV69;284;0;788;0
ASV70;0;0;1062;0
ASV71;0;0;0;1051
ASV72;0;0;0;1031
ASV73;0;48;0;959
ASV74;1003;0;0;0
ASV75;0;0;0;992
ASV76;0;0;991;0
ASV77;0;0;0;970
ASV78;0;0;958;0
ASV79;0;0;926;0
ASV80;0;0;0;926
ASV81;0;0;921;0
ASV82;0;0;0;905
ASV83;0;0;0;887
ASV84;0;0;0;867
ASV85;0;0;860;0
ASV86;0;0;849;0
ASV87;0;62;774;0
ASV88;0;0;824;0
ASV89;0;0;807;0
ASV90;794;0;0;0
ASV91;0;0;0;787
ASV92;0;0;780;0
ASV93;0;0;0;775
ASV94;0;0;768;0
ASV95;0;61;0;704
ASV96;0;0;0;758
ASV97;0;0;0;747
ASV98;0;0;732;0
ASV99;0;0;731;0
ASV100;0;0;719;0
ASV101;13;76;628;0
ASV102;0;0;0;682
ASV103;0;0;679;0
ASV104;0;0;0;673
ASV105;166;0;503;0
ASV106;0;0;668;0
ASV107;0;0;668;0
ASV108;0;0;655;0
ASV109;0;0;642;0
ASV110;0;0;0;639
ASV111;633;0;0;0
ASV112;0;0;620;0
ASV113;0;0;0;616
ASV114;338;0;273;0
ASV115;0;0;0;599
ASV116;0;0;594;0
ASV117;592;0;0;0
ASV118;573;0;0;0
ASV119;0;34;538;0
ASV120;361;114;0;86
ASV121;0;0;0;558
