;Kingdom;Phylum;Class;Order;Family;Genus;Species
ASV1;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);NA;NA;NA
ASV2;Eukaryota;NA;NA;NA;NA;NA;NA
ASV3;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Malasseziaceae;Malassezia;NA
ASV4;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Malasseziaceae;Malassezia;uncultured_fungus
ASV5;Eukaryota;NA;NA;NA;NA;NA;NA
ASV6;Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Acanthamoeba;NA
ASV7;Eukaryota;Excavata;Discoba;Discicristata;Neobodonida;Neobodo;Neobodo_curvifilus
ASV8;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Monogononta;Ploimida;NA
ASV9;Eukaryota;SAR;Rhizaria;Cercozoa;Incertae_Sedis;Gymnophrys;Cercozoa_sp._DDB-2008d
ASV10;Eukaryota;NA;NA;NA;NA;NA;NA
ASV11;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV12;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Tetrapoda;Mammalia;NA
ASV13;Eukaryota;NA;NA;NA;NA;NA;NA
ASV14;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV15;Eukaryota;SAR;Rhizaria;Cercozoa;Rhizaspididae;Rhogostoma;NA
ASV16;Eukaryota;SAR;Stramenopiles;Ochrophyta;Chromulinales;Spumella;Spumella_elongata
ASV17;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Neoptera;NA;NA
ASV18;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV19;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Malasseziaceae;Malassezia;Malassezia_globosa_CBS_7966
ASV20;Eukaryota;SAR;Alveolata;Ciliophora;Euplotia;Euplotes;NA
ASV21;Eukaryota;SAR;Stramenopiles;Ochrophyta;Ochromonadales;Paraphysomonas;uncultured_chrysophyte
ASV22;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Tylenchida;Aphelenchoides_fragariae
ASV23;Eukaryota;SAR;Rhizaria;Cercozoa;NA;NA;NA
ASV24;Eukaryota;NA;NA;NA;NA;NA;NA
ASV25;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Malasseziaceae;Malassezia;NA
ASV26;Eukaryota;SAR;Stramenopiles;Ochrophyta;Eustigmatales;Eustigmatos;Eustigmatos_vischeri
ASV27;Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;Protosteliopsis;NA
ASV28;Eukaryota;SAR;Alveolata;Ciliophora;Colpodida;Bromeliothrix;Colpoda_steinii
ASV29;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Araeolaimida;NA
ASV30;Eukaryota;NA;NA;NA;NA;NA;NA
ASV31;Eukaryota;SAR;Alveolata;NA;NA;NA;NA
ASV32;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Malasseziaceae;Malassezia;NA
ASV33;Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Phryganellina;Cryptodifflugia;Cryptodifflugia_operculata
ASV34;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Malasseziaceae;Malassezia;NA
ASV35;Eukaryota;Opisthokonta;NA;NA;NA;NA;NA
ASV36;Eukaryota;NA;NA;NA;NA;NA;NA
ASV37;Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;BIO10-D10;Vannella_sp._ECH30
ASV38;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Enoplia;Enoplida;Rhabdolaimus_terrestris
ASV39;Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;BIO10-D10;Vannella_sp._ECH30
ASV40;Eukaryota;SAR;NA;NA;NA;NA;NA
ASV41;Eukaryota;NA;NA;NA;NA;NA;NA
ASV42;Eukaryota;SAR;Stramenopiles;Ochrophyta;Chromulinales;Spumella;Spumella_sp._37G
ASV43;Eukaryota;Excavata;Discoba;Discicristata;NA;NA;NA
ASV44;Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;Protosteliopsis;Protosteliopsis_fimicola
ASV45;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV46;Eukaryota;SAR;Alveolata;Ciliophora;Hypotrichia;Hemiurosomoida;Hemiurosomoida_longa
ASV47;Eukaryota;SAR;Stramenopiles;Ochrophyta;Ochromonadales;Paraphysomonas;NA
ASV48;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Sporidiobolaceae;Sporobolomyces;Sporobolomyces_roseus
ASV49;Eukaryota;Centrohelida;NA;NA;NA;NA;NA
ASV50;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV51;Eukaryota;Amoebozoa;Myxogastria;Protophysarum;NA;NA;NA
ASV52;Eukaryota;SAR;Alveolata;Ciliophora;Colpodea;Colpodida;Colpoda_inflata
ASV53;Eukaryota;NA;NA;NA;NA;NA;NA
ASV54;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV55;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Malasseziaceae;Malassezia;NA
ASV56;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Mrakiaceae;Itersonilia;uncultured_eukaryote
ASV57;Eukaryota;Amoebozoa;Mycamoeba;Mycamoeba_gemmipara;Mycamoeba_gemmipara;Mycamoeba_gemmipara;Mycamoeba_gemmipara
ASV58;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV59;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Aspergillaceae;Penicillium;NA
ASV60;Eukaryota;NA;NA;NA;NA;NA;NA
ASV61;Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae;Cavernomonas;Cavernomonas_stercoris
ASV62;Eukaryota;NA;NA;NA;NA;NA;NA
ASV63;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;Eumonhystera_sp._1_JH-2014
ASV64;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV65;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Tylenchida;Filenchus_misellus
ASV66;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);NA;NA;NA
ASV67;Eukaryota;NA;NA;NA;NA;NA;NA
ASV68;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Cladosporiaceae;Cladosporium;NA
ASV69;Eukaryota;SAR;Stramenopiles;Ochrophyta;NA;NA;NA
ASV70;Eukaryota;SAR;Alveolata;Ciliophora;Nassophorea;Leptopharynx;Leptopharynx_costatus
ASV71;Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;Vannella;NA
ASV72;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;Paralamyctes_environmental_sample
ASV73;Eukaryota;Opisthokonta;Nucletmycea;Fungi;NA;NA;NA
ASV74;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Monogononta;Ploimida;NA
ASV75;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV76;Eukaryota;SAR;Rhizaria;Cercozoa;Thaumatomonadidae;Thaumatomonas;Thaumatomonas_sp._4_JMS-2012
ASV77;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV78;Eukaryota;SAR;Stramenopiles;Ochrophyta;Chromulinales;JBNA46;Ochromonadaceae_environmental_sample
ASV79;Eukaryota;Amoebozoa;Discosea;Flabellinia;Dactylopodida;Korotnevella;Korotnevella_stella
ASV80;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Tylenchida;Nematoda_environmental_sample
ASV81;Eukaryota;SAR;Alveolata;Ciliophora;Nassophorea;Leptopharynx;NA
ASV82;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;NA;NA
ASV83;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV84;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Chromadorea;Monhysterida;NA
ASV85;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Mrakiaceae;Itersonilia;NA
ASV86;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);NA;NA;NA
ASV87;Eukaryota;NA;NA;NA;NA;NA;NA
ASV88;Eukaryota;SAR;Alveolata;Ciliophora;Euplotia;Euplotes;NA
ASV89;Eukaryota;SAR;Alveolata;Ciliophora;Hypotrichia;Anteholosticha;Anteholosticha_monilata
ASV90;Eukaryota;NA;NA;NA;NA;NA;NA
ASV91;Eukaryota;SAR;Stramenopiles;Ochrophyta;Eustigmatales;Eustigmatos;Eustigmatos_vischeri
ASV92;Eukaryota;Opisthokonta;Holozoa;Metazoa_(Animalia);Tetrapoda;Mammalia;Homo_sapiens_(human)
ASV93;Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Rosales;NA;NA
ASV94;Eukaryota;SAR;NA;NA;NA;NA;NA
ASV95;Eukaryota;NA;NA;NA;NA;NA;NA
